Customer_ID,Customer_Region,Customer_Country,Customer_City,Customer_Segment
CUST00001,Middle East,UAE,Dubai,E-commerce
CUST00002,Asia,Singapore,Singapore,Retail
CUST00003,South America,Brazil,São Paulo,Retail
CUST00004,Asia,South Korea,Seoul,Corporate
CUST00005,Middle East,UAE,Abu Dhabi,Corporate
CUST00006,Europe,Germany,Berlin,Retail
CUST00007,North America,Canada,Vancouver,E-commerce
CUST00008,Asia,China,Beijing,Corporate
CUST00009,South America,Argentina,Buenos Aires,Wholesale
CUST00010,North America,Mexico,Guadalajara,Wholesale
CUST00011,Europe,Italy,Milan,Retail
CUST00012,North America,USA,Chicago,Wholesale
CUST00013,South America,Brazil,São Paulo,E-commerce
CUST00014,Europe,Italy,Milan,Corporate
CUST00015,North America,Canada,Vancouver,Corporate
CUST00016,North America,Mexico,Mexico City,Wholesale
CUST00017,South America,Argentina,Buenos Aires,Retail
CUST00018,Europe,Italy,Rome,Retail
CUST00019,Europe,Spain,Barcelona,Retail
CUST00020,Europe,France,Paris,Corporate
CUST00021,Asia,India,Hyderabad,Corporate
CUST00022,Asia,Singapore,Singapore,Retail
CUST00023,North America,USA,New York,Retail
CUST00024,Asia,Japan,Tokyo,Corporate
CUST00025,North America,Mexico,Guadalajara,Retail
CUST00026,North America,USA,Boston,Retail
CUST00027,Asia,Singapore,Singapore,Corporate
CUST00028,Europe,Spain,Madrid,Corporate
CUST00029,North America,USA,New York,E-commerce
CUST00030,Europe,Italy,Milan,Retail
CUST00031,North America,Mexico,Mexico City,Retail
CUST00032,Europe,France,Paris,Retail
CUST00033,Asia,Singapore,Singapore,E-commerce
CUST00034,North America,USA,Chicago,Corporate
CUST00035,Europe,France,Paris,Retail
CUST00036,Asia,Japan,Tokyo,Retail
CUST00037,Europe,Italy,Milan,Wholesale
CUST00038,North America,Mexico,Mexico City,Retail
CUST00039,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00040,Europe,Spain,Madrid,Corporate
CUST00041,Europe,UK,London,Retail
CUST00042,Europe,UK,Manchester,Wholesale
CUST00043,Asia,India,Delhi,Retail
CUST00044,Asia,Japan,Osaka,Retail
CUST00045,South America,Brazil,Rio de Janeiro,Wholesale
CUST00046,Europe,UK,Birmingham,Retail
CUST00047,Europe,Germany,Munich,Corporate
CUST00048,Asia,India,Chennai,Retail
CUST00049,Europe,UK,London,Corporate
CUST00050,North America,Canada,Vancouver,Retail
CUST00051,Europe,France,Paris,Corporate
CUST00052,Europe,UK,London,E-commerce
CUST00053,North America,Mexico,Mexico City,Retail
CUST00054,Asia,Singapore,Singapore,Corporate
CUST00055,Asia,Japan,Tokyo,Corporate
CUST00056,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00057,Europe,Italy,Rome,Corporate
CUST00058,Europe,Italy,Rome,Corporate
CUST00059,Middle East,UAE,Dubai,Retail
CUST00060,Middle East,Saudi Arabia,Riyadh,E-commerce
CUST00061,Asia,South Korea,Seoul,Retail
CUST00062,Asia,India,Mumbai,Retail
CUST00063,Asia,South Korea,Seoul,Corporate
CUST00064,Asia,Japan,Osaka,Retail
CUST00065,North America,Canada,Montreal,Retail
CUST00066,North America,Mexico,Mexico City,Retail
CUST00067,Asia,Singapore,Singapore,Corporate
CUST00068,North America,Canada,Toronto,E-commerce
CUST00069,North America,Mexico,Guadalajara,Wholesale
CUST00070,Asia,India,Pune,Retail
CUST00071,North America,Mexico,Mexico City,Wholesale
CUST00072,Middle East,Saudi Arabia,Riyadh,Retail
CUST00073,Europe,Germany,Hamburg,Wholesale
CUST00074,Asia,Japan,Osaka,E-commerce
